Product ID,Store ID,Date,DailyDemand,OptimizedStock
6947,78,2024-12-27,480,852
1835,78,2024-03-19,346,614
5021,16,2024-07-12,375,666
7323,67,2024-06-03,348,412
4762,81,2024-07-02,47,56
1155,3,2024-10-18,12,14
6215,10,2024-07-02,480,852
4711,27,2024-11-24,164,291
1087,50,2024-07-24,360,639
7520,77,2024-01-22,357,423
2004,72,2024-01-24,308,456
9970,19,2024-12-09,370,548
2964,82,2024-07-14,24,36
2222,88,2024-03-08,421,623
1657,19,2024-09-15,283,419
8799,81,2024-03-10,255,302
1411,73,2024-05-08,30,36
1486,69,2024-03-29,418,495
6139,13,2024-09-21,319,567
3151,67,2024-08-27,149,176
9109,93,2024-10-12,101,179
7227,48,2024-10-26,250,296
9208,80,2024-10-09,110,163
4667,43,2024-07-28,340,604
7391,26,2024-02-16,273,485
3247,67,2024-11-27,254,451
2899,16,2024-12-30,130,154
4236,67,2024-09-27,221,262
5746,59,2024-03-18,48,85
3269,81,2024-10-23,429,635
7082,36,2024-12-29,102,151
4534,64,2024-12-10,124,147
4714,31,2024-09-17,103,152
9538,52,2024-05-07,35,52
1486,2,2024-08-02,400,592
1789,86,2024-10-23,228,337
2612,39,2024-02-10,150,266
3371,78,2024-07-26,108,192
9739,46,2024-10-15,485,718
8530,72,2024-10-03,368,436
8606,10,2024-02-05,452,803
4619,97,2024-03-24,287,510
2527,25,2024-03-16,420,622
7282,37,2024-12-14,45,80
1096,89,2024-03-16,401,712
1954,27,2024-01-02,481,712
5443,71,2024-04-25,334,395
6685,83,2024-03-15,206,366
4691,49,2024-05-02,3,4
1879,81,2024-03-16,362,536
9804,66,2024-12-29,124,220
6256,92,2024-11-27,194,287
3183,53,2024-10-11,484,716
2452,20,2024-11-11,75,111
8463,8,2024-01-01,394,466
5546,73,2024-12-27,293,347
1533,47,2024-04-04,343,609
6657,38,2024-08-04,268,476
1847,81,2024-12-05,45,80
2749,25,2024-05-21,434,642
7683,81,2024-06-01,53,78
3003,69,2024-11-23,94,139
8921,24,2024-03-27,204,302
9533,51,2024-05-08,299,531
3945,63,2024-10-27,195,346
2131,52,2024-10-18,252,373
5860,94,2024-12-08,66,78
1701,22,2024-10-19,335,397
2259,4,2024-07-09,75,133
6089,39,2024-04-17,220,391
9718,1,2024-06-22,111,131
1719,20,2024-07-23,10,18
3187,82,2024-04-30,302,358
6892,52,2024-11-02,51,60
5794,97,2024-04-22,66,78
5670,39,2024-06-11,303,448
5488,36,2024-09-04,287,425
8405,40,2024-08-25,257,456
9467,31,2024-10-13,201,238
4633,47,2024-08-20,23,41
6260,85,2024-07-19,452,669
3101,4,2024-10-28,378,671
9934,95,2024-10-05,484,860
6168,16,2024-08-15,141,167
9104,8,2024-09-01,66,117
5934,16,2024-03-25,39,69
2773,31,2024-11-17,430,636
7224,27,2024-10-22,487,577
5052,55,2024-06-23,323,382
8803,22,2024-02-02,489,724
1839,90,2024-04-22,1,1
4002,87,2024-02-23,126,186
9349,49,2024-12-24,426,504
7102,3,2024-07-23,303,538
2081,76,2024-02-24,287,340
2644,19,2024-08-21,198,234
9303,29,2024-07-16,176,260
9104,2,2024-08-13,93,138
2179,2,2024-08-14,455,673
5229,84,2024-09-24,228,337
1745,62,2024-12-10,189,280
4513,50,2024-05-07,407,482
3560,90,2024-08-10,265,314
5380,85,2024-12-06,126,149
9745,16,2024-11-09,299,531
8493,66,2024-04-01,192,341
4301,24,2024-03-05,79,140
7895,24,2024-02-12,316,468
8985,97,2024-11-18,19,28
7587,47,2024-07-12,404,478
6953,49,2024-12-26,435,644
9969,69,2024-01-06,360,426
3352,96,2024-02-25,368,436
7875,38,2024-03-08,485,718
7812,39,2024-03-30,454,806
4069,25,2024-07-11,343,609
9377,82,2024-07-06,398,471
2504,95,2024-01-12,158,234
7957,44,2024-08-21,29,34
8943,50,2024-08-19,178,211
2641,88,2024-03-15,493,876
7666,18,2024-08-25,375,666
7309,42,2024-11-14,419,620
1898,63,2024-07-08,203,300
1040,52,2024-02-16,163,193
9317,20,2024-06-18,69,82
7060,24,2024-05-29,203,240
4115,77,2024-08-20,93,165
3672,13,2024-07-19,123,182
7223,68,2024-11-12,495,586
5412,74,2024-09-24,37,66
6820,68,2024-01-26,293,434
2528,28,2024-02-08,150,178
6291,21,2024-07-09,300,533
3851,26,2024-11-25,369,546
9769,87,2024-01-29,235,278
8284,98,2024-03-10,155,229
1235,44,2024-10-20,218,258
9780,79,2024-12-21,301,356
6431,39,2024-04-29,463,822
1215,52,2024-08-02,188,334
3668,9,2024-08-12,465,826
2259,1,2024-01-26,357,423
7109,5,2024-12-04,401,593
5877,70,2024-06-05,479,851
7279,4,2024-10-04,181,268
7711,35,2024-09-03,499,739
8958,79,2024-08-30,133,197
2973,2,2024-08-06,250,296
9168,90,2024-05-26,385,570
2850,62,2024-01-19,461,682
9558,24,2024-01-26,486,719
4244,95,2024-03-20,491,581
9509,76,2024-07-02,374,443
7049,12,2024-06-24,432,767
6203,46,2024-09-01,12,21
2240,48,2024-02-02,386,457
6702,56,2024-11-12,367,435
4258,48,2024-10-24,482,856
2098,57,2024-08-02,351,416
5844,51,2024-09-20,272,403
7146,85,2024-07-15,83,147
3339,61,2024-01-17,2,4
6318,13,2024-09-06,146,216
7384,78,2024-03-18,55,81
7548,2,2024-06-11,380,562
1647,48,2024-01-27,340,604
8731,2,2024-05-21,415,491
7993,65,2024-02-20,259,383
9461,1,2024-05-31,169,200
4216,86,2024-06-20,292,432
5464,1,2024-11-23,382,678
1193,15,2024-11-18,371,549
6227,63,2024-09-17,347,514
8029,31,2024-10-03,406,601
8676,29,2024-01-19,124,184
2186,27,2024-12-18,169,200
8237,67,2024-05-07,234,346
3505,69,2024-10-17,129,191
7286,40,2024-08-08,272,322
7658,66,2024-10-11,85,126
5716,1,2024-02-19,195,289
3105,73,2024-04-29,368,654
7679,92,2024-12-22,328,583
9230,94,2024-09-18,373,662
9527,88,2024-10-02,161,238
8584,83,2024-01-18,335,496
6417,75,2024-09-02,354,419
7060,13,2024-12-20,100,178
3269,25,2024-08-29,291,517
7626,24,2024-06-20,210,373
7529,68,2024-07-04,135,160
4472,53,2024-11-15,277,410
5724,90,2024-03-14,201,357
7232,13,2024-07-30,407,723
8029,15,2024-10-03,371,659
5749,60,2024-11-05,165,244
1848,84,2024-02-10,330,488
1631,15,2024-01-21,242,287
4633,96,2024-03-15,295,437
4625,93,2024-03-23,119,141
5959,86,2024-07-07,323,382
4460,49,2024-05-06,431,638
3781,35,2024-07-29,144,170
4280,29,2024-12-06,245,363
6071,47,2024-11-08,27,32
5545,25,2024-08-21,465,688
1760,13,2024-02-26,77,91
5296,47,2024-01-03,12,18
5089,84,2024-01-20,190,337
2524,9,2024-11-20,124,147
6505,41,2024-06-07,200,355
8073,43,2024-06-01,167,247
5979,38,2024-11-06,371,549
6782,11,2024-04-25,279,330
2458,42,2024-02-08,230,340
6772,79,2024-11-30,357,528
4259,36,2024-01-05,166,246
7364,23,2024-05-22,212,314
5942,88,2024-06-05,306,543
5031,24,2024-02-16,454,672
8514,67,2024-10-07,141,250
5159,22,2024-05-10,447,662
2657,30,2024-10-02,252,373
4468,56,2024-06-02,122,181
1660,89,2024-02-02,398,707
3049,94,2024-05-15,320,379
1762,63,2024-12-16,451,534
5209,35,2024-06-30,88,156
1655,58,2024-03-30,151,268
3104,86,2024-12-02,412,610
4591,55,2024-11-07,213,252
8245,89,2024-07-07,303,538
3667,31,2024-10-03,375,666
7813,13,2024-11-08,494,877
3029,31,2024-12-10,126,186
4712,90,2024-09-01,385,570
2876,76,2024-09-12,271,321
6979,31,2024-03-21,305,542
9569,54,2024-10-23,101,120
2432,67,2024-11-20,294,435
4529,76,2024-04-28,131,155
5531,42,2024-12-15,79,140
1101,26,2024-05-06,435,773
3096,56,2024-04-26,477,847
4801,9,2024-08-05,54,96
8465,25,2024-08-27,55,98
7536,90,2024-04-18,303,538
3426,93,2024-07-22,208,369
6681,41,2024-04-24,213,315
5315,69,2024-01-27,2,3
2461,86,2024-10-02,273,323
9210,12,2024-05-15,449,665
6561,54,2024-09-15,232,343
8868,82,2024-07-24,160,284
1713,86,2024-05-21,257,304
1197,23,2024-12-23,120,178
3462,84,2024-08-20,465,826
8811,13,2024-02-01,317,375
9365,37,2024-08-30,144,213
6599,8,2024-05-28,185,274
8701,3,2024-07-15,370,548
4513,29,2024-12-01,197,350
3430,96,2024-01-09,248,440
7745,20,2024-03-30,187,221
7485,24,2024-05-23,332,393
9136,79,2024-11-26,90,107
3793,82,2024-09-30,375,666
5010,60,2024-02-04,295,437
1266,88,2024-12-07,438,778
3821,9,2024-02-19,108,128
5690,6,2024-08-11,162,288
8981,6,2024-03-03,471,558
4137,17,2024-04-02,286,508
6792,6,2024-09-08,1,1
1524,14,2024-08-24,67,119
6629,69,2024-07-10,186,330
2405,50,2024-09-16,270,320
1878,49,2024-02-12,190,225
5163,31,2024-06-13,298,529
4930,8,2024-09-16,196,348
9578,16,2024-02-13,338,600
7345,13,2024-05-01,407,723
9341,30,2024-11-27,277,410
6909,63,2024-06-13,217,321
2995,60,2024-07-25,18,27
5792,10,2024-09-20,57,84
7471,1,2024-09-24,209,247
2229,97,2024-12-23,30,53
8572,59,2024-12-10,333,493
7000,39,2024-03-05,265,471
7550,97,2024-01-22,92,136
3426,4,2024-11-30,365,648
1589,18,2024-01-03,490,725
4815,74,2024-08-17,246,291
9249,70,2024-06-11,311,552
6269,2,2024-04-08,449,532
9202,44,2024-04-11,304,540
9879,36,2024-06-30,139,206
2033,95,2024-11-13,39,69
2156,23,2024-05-03,38,45
3514,68,2024-12-02,17,30
2463,94,2024-04-02,108,192
6826,89,2024-07-27,154,228
2253,93,2024-06-25,438,648
2677,91,2024-12-07,47,70
5974,87,2024-08-25,455,808
4574,16,2024-01-06,469,833
9998,7,2024-03-02,253,374
8003,11,2024-11-13,230,408
1254,86,2024-03-27,428,507
4720,33,2024-02-29,125,185
1099,79,2024-06-02,327,484
6435,73,2024-11-02,44,65
7860,78,2024-05-13,175,207
8447,39,2024-08-20,343,406
8323,59,2024-02-13,375,666
2403,18,2024-06-11,430,636
8326,73,2024-05-01,408,604
3824,79,2024-12-11,304,540
7718,40,2024-06-17,268,317
5695,64,2024-04-23,109,129
5251,7,2024-02-05,181,268
9009,34,2024-12-26,119,141
8873,36,2024-08-20,390,462
1709,12,2024-05-15,54,80
7592,27,2024-11-15,346,614
8377,86,2024-01-02,339,602
8043,83,2024-10-29,150,178
5319,34,2024-12-28,62,92
9016,77,2024-05-08,367,543
8538,34,2024-05-07,84,149
2162,20,2024-03-10,398,589
5996,36,2024-11-11,299,531
3270,50,2024-12-06,2,4
4640,20,2024-04-05,87,103
8029,10,2024-09-05,273,404
8940,43,2024-01-07,376,668
7638,72,2024-12-27,461,682
4415,61,2024-10-04,62,92
2101,92,2024-09-15,396,586
5499,32,2024-01-12,239,424
1141,95,2024-07-25,423,501
6448,69,2024-05-23,177,314
9501,7,2024-09-10,132,195
3019,13,2024-12-22,103,183
8926,92,2024-01-28,107,158
9325,21,2024-08-11,175,311
7965,56,2024-04-01,284,336
7856,73,2024-05-03,462,547
1929,72,2024-01-25,44,78
6635,76,2024-07-15,86,127
3154,1,2024-09-12,310,367
3417,76,2024-02-08,413,489
1539,22,2024-02-26,486,575
4381,77,2024-12-25,467,553
9890,7,2024-02-16,23,27
7136,52,2024-02-18,153,226
2597,22,2024-10-26,211,312
9214,81,2024-02-08,7,8
5409,83,2024-08-29,177,210
1928,53,2024-05-23,302,447
2574,49,2024-05-15,45,53
2460,86,2024-03-08,306,362
6918,56,2024-05-31,6,9
7715,36,2024-02-10,355,630
6123,22,2024-01-11,466,690
5231,95,2024-08-01,212,377
9517,35,2024-06-10,193,286
6138,64,2024-11-15,67,79
4578,17,2024-11-07,91,135
6807,17,2024-05-25,439,780
7416,27,2024-03-25,165,195
2872,22,2024-02-14,50,59
5682,51,2024-07-15,402,476
3962,14,2024-11-05,253,374
2214,47,2024-12-28,378,448
7635,47,2024-12-12,349,413
9701,21,2024-10-28,147,218
7866,39,2024-09-12,307,545
4329,32,2024-01-24,90,133
7012,79,2024-10-19,98,116
1081,64,2024-04-09,307,454
4769,94,2024-09-19,266,315
8262,65,2024-12-08,347,616
6447,43,2024-01-11,135,240
4513,97,2024-12-27,116,172
6824,63,2024-05-08,367,652
9632,89,2024-06-27,289,428
3354,95,2024-06-16,242,287
6530,77,2024-03-18,322,572
2453,3,2024-11-21,13,15
7831,99,2024-08-09,38,67
3167,36,2024-05-30,373,552
1881,85,2024-05-09,107,127
4864,68,2024-10-09,462,547
1327,43,2024-05-12,407,602
2111,90,2024-01-17,48,85
3949,8,2024-07-23,462,821
5077,53,2024-02-13,496,587
2139,72,2024-02-21,320,379
8332,66,2024-05-06,168,249
3337,6,2024-02-07,303,359
2582,67,2024-08-08,434,771
4648,76,2024-03-17,12,14
4973,61,2024-09-15,417,494
2293,6,2024-05-19,85,126
2351,72,2024-04-16,277,328
2641,86,2024-02-03,316,468
2384,44,2024-10-02,426,630
9652,22,2024-06-13,311,460
4264,86,2024-06-19,131,233
4465,79,2024-03-10,413,733
8008,28,2024-08-18,190,337
3465,48,2024-01-31,383,453
1595,43,2024-12-24,110,163
6758,66,2024-11-25,318,565
3959,90,2024-05-15,378,448
7410,47,2024-09-25,282,334
5924,44,2024-02-17,449,665
7716,92,2024-12-21,259,460
2417,90,2024-12-04,436,645
8382,88,2024-07-12,80,142
5522,34,2024-03-26,11,13
5174,90,2024-12-16,83,123
9263,93,2024-02-07,328,388
6397,80,2024-02-13,253,449
6905,60,2024-01-23,304,540
8143,50,2024-06-22,392,464
2573,57,2024-01-13,281,333
5425,21,2024-05-05,451,534
8986,11,2024-03-16,365,540
3628,20,2024-09-19,104,185
8449,19,2024-03-22,100,148
4160,62,2024-04-29,252,373
4795,79,2024-01-08,42,50
9921,79,2024-12-22,265,392
2202,74,2024-04-09,483,858
7445,44,2024-11-11,450,666
6028,1,2024-04-23,210,373
1321,95,2024-01-19,359,531
9401,24,2024-05-03,232,275
8526,2,2024-10-02,480,710
9438,17,2024-09-02,185,219
8060,7,2024-07-28,99,176
8284,56,2024-10-02,59,105
8841,53,2024-08-12,376,556
1100,2,2024-01-13,294,522
4264,93,2024-12-18,432,767
4540,54,2024-03-07,60,71
7479,66,2024-03-07,97,172
6631,66,2024-06-08,280,497
4798,15,2024-01-23,386,686
9126,70,2024-11-30,145,258
3534,79,2024-10-13,233,414
7696,88,2024-11-28,365,432
4872,67,2024-10-21,348,412
6652,23,2024-03-15,344,509
2612,9,2024-12-20,93,165
5977,22,2024-08-27,22,33
5294,53,2024-12-09,300,533
4244,70,2024-12-24,473,840
9300,58,2024-08-27,103,122
5158,53,2024-05-27,234,416
3734,81,2024-09-28,210,373
6711,47,2024-06-15,322,477
8648,96,2024-01-10,400,710
2462,33,2024-07-24,108,192
9762,95,2024-11-28,100,118
8489,98,2024-05-12,54,80
3888,21,2024-11-30,244,289
9366,47,2024-05-07,493,730
3715,75,2024-05-05,12,21
6633,18,2024-04-23,92,163
4401,91,2024-04-25,449,532
8555,52,2024-09-26,150,178
2800,6,2024-12-18,66,98
3685,29,2024-09-30,185,274
6966,61,2024-05-22,132,156
1299,99,2024-10-24,129,191
4376,81,2024-12-26,273,485
4915,50,2024-05-06,225,333
2185,6,2024-02-05,174,309
5799,6,2024-12-28,125,148
5421,37,2024-02-28,53,94
7803,53,2024-02-20,65,77
5205,2,2024-10-12,55,98
3588,59,2024-04-24,298,529
4110,84,2024-12-28,341,505
3742,30,2024-06-15,308,365
3062,86,2024-01-11,183,217
3334,2,2024-10-31,37,44
7509,89,2024-05-16,157,186
3968,56,2024-02-18,325,481
4448,35,2024-04-02,100,118
6404,92,2024-01-28,82,146
9914,37,2024-10-01,33,49
9259,21,2024-05-31,252,373
9263,88,2024-08-21,250,296
7818,11,2024-10-28,377,446
4316,59,2024-11-15,273,404
1096,7,2024-09-03,64,114
6663,45,2024-07-24,347,514
8465,50,2024-12-04,271,481
7104,18,2024-01-02,475,703
8330,70,2024-02-11,177,210
3269,30,2024-09-26,295,349
6030,71,2024-05-11,304,450
2077,37,2024-07-23,261,309
5807,16,2024-06-22,350,414
8878,46,2024-11-14,118,210
2497,61,2024-11-27,396,703
3154,55,2024-11-03,72,128
4300,58,2024-05-27,335,595
2270,30,2024-10-03,8,12
4369,60,2024-08-22,215,255
5954,85,2024-07-30,414,490
2533,86,2024-06-18,192,284
9151,66,2024-06-16,88,130
3027,51,2024-09-16,11,20
6438,90,2024-04-30,109,161
4415,38,2024-09-12,391,694
7263,45,2024-02-06,15,18
3105,80,2024-04-07,42,75
5366,8,2024-07-23,306,362
3454,81,2024-12-03,28,41
3373,98,2024-10-19,293,347
8680,58,2024-03-12,288,511
2468,81,2024-11-26,48,85
4600,89,2024-01-27,397,588
6541,22,2024-05-17,47,70
7650,27,2024-12-05,299,354
3050,65,2024-01-28,414,613
3979,88,2024-01-02,469,833
4831,12,2024-04-28,298,353
3137,88,2024-09-27,65,96
4205,10,2024-07-30,443,656
3259,60,2024-02-25,22,39
6352,63,2024-12-19,361,534
6400,91,2024-08-07,453,805
6566,8,2024-07-03,325,577
4067,94,2024-08-27,331,392
5217,34,2024-08-31,418,742
5344,92,2024-02-14,419,496
9287,80,2024-01-11,334,593
2947,11,2024-04-26,139,206
3714,42,2024-08-15,129,191
9341,12,2024-10-15,430,636
4741,87,2024-10-08,273,485
1447,64,2024-03-22,336,398
9397,8,2024-01-10,25,30
6275,1,2024-09-13,200,296
3625,1,2024-02-26,71,84
1147,8,2024-08-01,475,703
1279,93,2024-10-23,282,417
2504,52,2024-10-02,321,570
7136,89,2024-08-24,286,508
7284,71,2024-10-06,299,531
5948,91,2024-02-29,360,533
2101,78,2024-08-16,392,464
3638,86,2024-06-04,329,584
5728,41,2024-07-08,116,206
5337,20,2024-07-16,84,124
3900,52,2024-05-10,344,407
1471,10,2024-09-13,351,623
2566,72,2024-07-11,114,169
7962,20,2024-01-26,252,373
4013,47,2024-05-10,134,159
7861,92,2024-07-18,396,469
5181,74,2024-09-01,262,388
2106,90,2024-12-15,140,166
3315,53,2024-05-12,21,25
8852,4,2024-07-07,463,685
8888,17,2024-06-22,116,206
3542,81,2024-08-02,183,271
3627,52,2024-12-12,146,216
3129,97,2024-06-01,213,252
2931,51,2024-08-16,21,37
2359,69,2024-04-26,208,246
3455,24,2024-01-30,287,425
3223,51,2024-08-09,95,112
8642,42,2024-04-16,270,400
9715,5,2024-05-21,312,369
2369,79,2024-10-03,223,330
1485,85,2024-07-09,275,326
1958,85,2024-04-08,481,712
4874,77,2024-05-23,74,88
1052,73,2024-05-03,111,164
6958,45,2024-05-07,451,534
1204,12,2024-04-13,251,297
7078,98,2024-06-16,90,107
4595,29,2024-10-02,363,537
1357,45,2024-06-09,450,533
9503,27,2024-05-07,225,266
7128,38,2024-05-22,415,737
5580,20,2024-01-24,106,157
5215,61,2024-01-31,185,329
4846,38,2024-04-22,299,443
1363,75,2024-04-19,158,281
6380,34,2024-01-06,390,462
9120,46,2024-03-13,371,549
3018,98,2024-03-27,36,64
3372,82,2024-02-24,409,484
1082,2,2024-09-25,258,382
5425,13,2024-06-27,484,860
4452,6,2024-07-16,94,139
4749,94,2024-03-20,128,189
4764,59,2024-11-19,50,89
1339,38,2024-06-28,408,725
9105,12,2024-07-10,240,355
7597,37,2024-02-17,419,496
2187,70,2024-06-17,202,299
6678,62,2024-01-20,156,231
3752,24,2024-07-07,365,540
4297,27,2024-01-26,421,623
5830,18,2024-12-09,459,543
3430,75,2024-09-09,271,321
6087,6,2024-10-23,322,572
6806,36,2024-11-24,146,173
5952,81,2024-07-26,393,465
6944,46,2024-01-29,126,224
2499,68,2024-02-11,499,886
4198,17,2024-03-16,170,302
6720,96,2024-09-18,351,416
9437,16,2024-11-12,28,41
4652,88,2024-06-21,363,645
3239,29,2024-01-03,407,602
5642,24,2024-09-25,426,630
3813,34,2024-10-27,313,371
2443,74,2024-04-23,491,872
5479,89,2024-10-04,450,533
8010,38,2024-07-03,431,510
4894,91,2024-08-14,266,472
4890,5,2024-09-15,85,101
1281,89,2024-05-16,198,293
7452,44,2024-01-06,117,173
1920,69,2024-08-26,216,384
3403,72,2024-01-05,16,24
1504,9,2024-07-07,20,24
3995,46,2024-01-05,343,609
2405,82,2024-08-03,193,286
6916,44,2024-05-17,31,55
3098,73,2024-01-26,17,30
3051,84,2024-05-10,498,737
1989,68,2024-01-16,321,475
6728,17,2024-02-08,124,147
6634,66,2024-07-23,63,93
6842,4,2024-12-29,485,861
7047,31,2024-11-20,100,118
7940,58,2024-09-03,96,114
8069,82,2024-04-10,71,105
5782,2,2024-11-01,114,135
2967,80,2024-02-08,402,476
6923,25,2024-03-11,353,522
1059,45,2024-12-18,177,314
7830,51,2024-02-22,387,573
9660,59,2024-08-13,198,293
6043,18,2024-08-04,287,340
7486,28,2024-09-21,369,546
6529,6,2024-01-05,372,661
4707,63,2024-01-27,94,139
5949,39,2024-08-21,458,542
6782,93,2024-04-04,174,309
9897,98,2024-07-13,4,5
5960,51,2024-11-24,164,291
1116,52,2024-12-17,406,721
1321,71,2024-08-05,443,656
5262,13,2024-11-30,278,411
1756,2,2024-11-04,225,400
1007,86,2024-03-27,459,815
4838,79,2024-03-29,91,135
8511,40,2024-04-06,163,193
9599,15,2024-12-06,334,593
2731,38,2024-12-05,282,417
7094,70,2024-07-09,223,264
3021,28,2024-02-21,8,12
3270,14,2024-12-23,81,144
2233,98,2024-10-14,25,37
8996,48,2024-05-10,56,66
1775,75,2024-01-28,41,61
3547,33,2024-06-04,399,709
7407,40,2024-05-04,209,371
8695,74,2024-05-01,185,329
8418,93,2024-01-21,90,107
8787,5,2024-08-11,195,289
9326,23,2024-09-15,33,39
4602,28,2024-11-24,126,224
7509,54,2024-12-20,121,215
9289,86,2024-06-03,360,533
3997,52,2024-06-13,477,847
6272,87,2024-12-30,127,226
6560,90,2024-11-28,292,346
1835,22,2024-06-30,231,274
9941,78,2024-10-29,89,158
9338,57,2024-08-17,312,462
4500,13,2024-11-13,5,7
3628,66,2024-08-22,351,416
2587,17,2024-04-15,176,260
7293,69,2024-04-28,365,432
8219,89,2024-03-22,468,693
9519,32,2024-10-31,179,265
2209,51,2024-11-08,454,672
6548,40,2024-08-23,293,347
7866,88,2024-10-04,407,482
8570,47,2024-09-09,493,584
5378,52,2024-11-12,356,422
2294,35,2024-04-29,460,817
2289,99,2024-06-10,306,453
9650,9,2024-11-18,360,533
6989,57,2024-02-01,461,682
8297,5,2024-01-01,412,488
9757,19,2024-08-01,142,210
1971,78,2024-02-21,350,414
1078,1,2024-06-25,53,94
9898,33,2024-05-31,455,808
2691,99,2024-05-09,347,616
9829,2,2024-01-06,425,503
5419,22,2024-12-12,249,295
4581,75,2024-08-30,112,166
8840,36,2024-12-21,32,57
9757,51,2024-05-10,144,256
6773,10,2024-06-08,99,176
8462,83,2024-08-17,19,34
4170,45,2024-02-16,151,268
8874,84,2024-04-08,226,334
6656,58,2024-02-19,60,89
2335,83,2024-05-20,248,440
6775,67,2024-04-08,196,348
4580,74,2024-03-18,160,189
7473,73,2024-06-14,452,669
9748,16,2024-11-05,157,279
1640,5,2024-12-07,77,91
3957,11,2024-06-25,465,551
5993,85,2024-03-20,244,433
6165,51,2024-05-21,297,440
9396,62,2024-07-07,372,661
1467,22,2024-07-19,165,195
3803,30,2024-08-22,144,170
3317,22,2024-01-23,31,55
3073,70,2024-09-02,292,346
8245,28,2024-09-22,345,613
8471,28,2024-05-23,395,585
9705,85,2024-09-22,350,622
